category,year_month,count
EDUCATION,2015-06,57
EDUCATION,2015-07,12
EDUCATION,2015-08,3
EDUCATION,2015-09,8
EDUCATION,2015-10,5
EDUCATION,2015-11,6
EDUCATION,2015-12,4
EDUCATION,2016-01,5
EDUCATION,2016-02,2
EDUCATION,2016-03,5
EDUCATION,2016-04,11
EDUCATION,2016-05,9
EDUCATION,2016-06,7
EDUCATION,2016-07,8
EDUCATION,2016-08,6
EDUCATION,2016-09,8
EDUCATION,2016-10,9
EDUCATION,2016-11,9
EDUCATION,2016-12,19
EDUCATION,2017-01,13
EDUCATION,2017-02,16
EDUCATION,2017-03,10
EDUCATION,2017-04,17
EDUCATION,2017-05,31
EDUCATION,2017-06,18
EDUCATION,2017-07,25
EDUCATION,2017-08,30
EDUCATION,2017-09,24
EDUCATION,2017-10,15
EDUCATION,2017-11,21
EDUCATION,2017-12,11
EDUCATION,2018-01,4
EDUCATION,2018-02,10
EDUCATION,2018-03,3
EDUCATION,2018-04,11
EDUCATION,2018-05,4
EDUCATION,2019-03,1
EDUCATION,2019-04,1
EDUCATION,2020-08,1
EDUCATION,2021-02,1
EDUCATION,2021-06,1
EDUCATION,2021-09,1
EDUCATION,2021-10,1
EDUCATION,2022-04,1
EDUCATION,2022-08,1
EDUCATION,2022-09,1
ENTERTAINMENT,2012-01,5
ENTERTAINMENT,2012-02,50
ENTERTAINMENT,2012-03,36
ENTERTAINMENT,2012-04,49
ENTERTAINMENT,2012-05,43
ENTERTAINMENT,2012-06,49
ENTERTAINMENT,2012-07,69
ENTERTAINMENT,2012-08,42
ENTERTAINMENT,2012-09,49
ENTERTAINMENT,2012-10,55
ENTERTAINMENT,2012-11,64
ENTERTAINMENT,2012-12,51
ENTERTAINMENT,2013-01,51
ENTERTAINMENT,2013-02,60
ENTERTAINMENT,2013-03,94
ENTERTAINMENT,2013-04,61
ENTERTAINMENT,2013-05,97
ENTERTAINMENT,2013-06,98
ENTERTAINMENT,2013-07,95
ENTERTAINMENT,2013-08,66
ENTERTAINMENT,2013-09,78
ENTERTAINMENT,2013-10,59
ENTERTAINMENT,2013-11,121
ENTERTAINMENT,2013-12,135
ENTERTAINMENT,2014-01,58
ENTERTAINMENT,2014-02,66
ENTERTAINMENT,2014-03,71
ENTERTAINMENT,2014-04,84
ENTERTAINMENT,2014-05,123
ENTERTAINMENT,2014-06,232
ENTERTAINMENT,2014-07,258
ENTERTAINMENT,2014-08,240
ENTERTAINMENT,2014-09,238
ENTERTAINMENT,2014-10,247
ENTERTAINMENT,2014-11,241
ENTERTAINMENT,2014-12,264
ENTERTAINMENT,2015-01,281
ENTERTAINMENT,2015-02,248
ENTERTAINMENT,2015-03,238
ENTERTAINMENT,2015-04,239
ENTERTAINMENT,2015-05,243
ENTERTAINMENT,2015-06,253
ENTERTAINMENT,2015-07,525
ENTERTAINMENT,2015-08,417
ENTERTAINMENT,2015-09,395
ENTERTAINMENT,2015-10,378
ENTERTAINMENT,2015-11,400
ENTERTAINMENT,2015-12,306
ENTERTAINMENT,2016-01,343
ENTERTAINMENT,2016-02,314
ENTERTAINMENT,2016-03,303
ENTERTAINMENT,2016-04,283
ENTERTAINMENT,2016-05,250
ENTERTAINMENT,2016-06,233
ENTERTAINMENT,2016-07,290
ENTERTAINMENT,2016-08,329
ENTERTAINMENT,2016-09,293
ENTERTAINMENT,2016-10,321
ENTERTAINMENT,2016-11,287
ENTERTAINMENT,2016-12,280
ENTERTAINMENT,2017-01,361
ENTERTAINMENT,2017-02,329
ENTERTAINMENT,2017-03,284
ENTERTAINMENT,2017-04,217
ENTERTAINMENT,2017-05,225
ENTERTAINMENT,2017-06,191
ENTERTAINMENT,2017-07,245
ENTERTAINMENT,2017-08,260
ENTERTAINMENT,2017-09,227
ENTERTAINMENT,2017-10,296
ENTERTAINMENT,2017-11,292
ENTERTAINMENT,2017-12,263
ENTERTAINMENT,2018-01,415
ENTERTAINMENT,2018-02,279
ENTERTAINMENT,2018-03,351
ENTERTAINMENT,2018-04,362
ENTERTAINMENT,2018-05,313
ENTERTAINMENT,2018-06,14
ENTERTAINMENT,2018-07,10
ENTERTAINMENT,2018-08,7
ENTERTAINMENT,2018-09,18
ENTERTAINMENT,2018-10,27
ENTERTAINMENT,2018-11,39
ENTERTAINMENT,2018-12,27
ENTERTAINMENT,2019-01,25
ENTERTAINMENT,2019-02,20
ENTERTAINMENT,2019-03,22
ENTERTAINMENT,2019-04,2
ENTERTAINMENT,2019-05,16
ENTERTAINMENT,2019-07,4
ENTERTAINMENT,2019-08,1
ENTERTAINMENT,2019-09,16
ENTERTAINMENT,2019-10,26
ENTERTAINMENT,2019-11,36
ENTERTAINMENT,2019-12,23
ENTERTAINMENT,2020-01,5
ENTERTAINMENT,2020-02,2
ENTERTAINMENT,2020-03,29
ENTERTAINMENT,2020-04,45
ENTERTAINMENT,2020-05,47
ENTERTAINMENT,2020-06,46
ENTERTAINMENT,2020-07,48
ENTERTAINMENT,2020-08,26
ENTERTAINMENT,2020-09,35
ENTERTAINMENT,2020-10,46
ENTERTAINMENT,2020-11,35
ENTERTAINMENT,2020-12,31
ENTERTAINMENT,2021-01,27
ENTERTAINMENT,2021-02,4
ENTERTAINMENT,2021-03,7
ENTERTAINMENT,2021-04,33
ENTERTAINMENT,2021-05,29
ENTERTAINMENT,2021-06,30
ENTERTAINMENT,2021-07,27
ENTERTAINMENT,2021-08,41
ENTERTAINMENT,2021-09,47
ENTERTAINMENT,2021-10,42
ENTERTAINMENT,2021-11,24
ENTERTAINMENT,2021-12,30
ENTERTAINMENT,2022-01,31
ENTERTAINMENT,2022-02,14
ENTERTAINMENT,2022-03,22
ENTERTAINMENT,2022-04,31
ENTERTAINMENT,2022-05,21
ENTERTAINMENT,2022-06,38
ENTERTAINMENT,2022-07,29
ENTERTAINMENT,2022-08,30
ENTERTAINMENT,2022-09,19
ENVIRONMENT,2012-01,9
ENVIRONMENT,2012-02,35
ENVIRONMENT,2012-03,56
ENVIRONMENT,2012-04,61
ENVIRONMENT,2012-05,38
ENVIRONMENT,2012-06,37
ENVIRONMENT,2012-07,52
ENVIRONMENT,2012-08,21
ENVIRONMENT,2012-09,47
ENVIRONMENT,2012-10,37
ENVIRONMENT,2012-11,49
ENVIRONMENT,2012-12,40
ENVIRONMENT,2013-01,38
ENVIRONMENT,2013-02,43
ENVIRONMENT,2013-03,50
ENVIRONMENT,2013-04,47
ENVIRONMENT,2013-05,52
ENVIRONMENT,2013-06,92
ENVIRONMENT,2013-07,53
ENVIRONMENT,2013-08,56
ENVIRONMENT,2013-09,61
ENVIRONMENT,2013-10,49
ENVIRONMENT,2013-11,66
ENVIRONMENT,2013-12,48
ENVIRONMENT,2014-01,57
ENVIRONMENT,2014-02,59
ENVIRONMENT,2014-03,53
ENVIRONMENT,2014-04,17
ENVIRONMENT,2018-07,4
ENVIRONMENT,2018-09,3
ENVIRONMENT,2018-10,4
ENVIRONMENT,2018-11,6
ENVIRONMENT,2018-12,3
ENVIRONMENT,2019-01,3
ENVIRONMENT,2019-02,5
ENVIRONMENT,2019-04,1
ENVIRONMENT,2019-09,2
ENVIRONMENT,2019-10,2
ENVIRONMENT,2019-11,3
ENVIRONMENT,2019-12,1
ENVIRONMENT,2020-01,1
ENVIRONMENT,2020-06,2
ENVIRONMENT,2020-07,3
ENVIRONMENT,2020-08,2
ENVIRONMENT,2020-09,1
ENVIRONMENT,2020-10,3
ENVIRONMENT,2020-11,2
ENVIRONMENT,2020-12,1
ENVIRONMENT,2021-02,1
ENVIRONMENT,2021-04,3
ENVIRONMENT,2021-05,1
ENVIRONMENT,2021-06,4
ENVIRONMENT,2021-07,8
ENVIRONMENT,2021-08,6
ENVIRONMENT,2021-09,5
ENVIRONMENT,2021-10,3
ENVIRONMENT,2021-11,4
ENVIRONMENT,2021-12,7
ENVIRONMENT,2022-01,1
ENVIRONMENT,2022-03,2
ENVIRONMENT,2022-04,4
ENVIRONMENT,2022-05,4
ENVIRONMENT,2022-06,5
ENVIRONMENT,2022-07,2
ENVIRONMENT,2022-08,3
ENVIRONMENT,2022-09,6
FIFTY,2014-04,31
FIFTY,2014-05,105
FIFTY,2014-06,82
FIFTY,2014-07,70
FIFTY,2014-08,66
FIFTY,2014-09,57
FIFTY,2014-10,88
FIFTY,2014-11,89
FIFTY,2014-12,79
FIFTY,2015-01,62
FIFTY,2015-02,71
FIFTY,2015-03,79
FIFTY,2015-04,67
FIFTY,2015-05,119
FIFTY,2015-06,74
FIFTY,2015-07,23
FIFTY,2015-08,13
FIFTY,2015-09,17
FIFTY,2015-10,15
FIFTY,2015-11,19
FIFTY,2015-12,18
FIFTY,2016-01,10
FIFTY,2016-02,10
FIFTY,2016-03,13
FIFTY,2016-04,8
FIFTY,2016-05,26
FIFTY,2016-06,23
FIFTY,2016-07,19
FIFTY,2016-08,11
FIFTY,2016-09,11
FIFTY,2016-10,10
FIFTY,2016-11,8
FIFTY,2016-12,6
FIFTY,2017-01,1
FIFTY,2017-02,1
FOOD & DRINK,2012-01,13
FOOD & DRINK,2012-02,124
FOOD & DRINK,2012-03,123
FOOD & DRINK,2012-04,114
FOOD & DRINK,2012-05,133
FOOD & DRINK,2012-06,130
FOOD & DRINK,2012-07,139
FOOD & DRINK,2012-08,171
FOOD & DRINK,2012-09,224
FOOD & DRINK,2012-10,265
FOOD & DRINK,2012-11,203
FOOD & DRINK,2012-12,184
FOOD & DRINK,2013-01,276
FOOD & DRINK,2013-02,306
FOOD & DRINK,2013-03,322
FOOD & DRINK,2013-04,278
FOOD & DRINK,2013-05,284
FOOD & DRINK,2013-06,246
FOOD & DRINK,2013-07,297
FOOD & DRINK,2013-08,318
FOOD & DRINK,2013-09,259
FOOD & DRINK,2013-10,320
FOOD & DRINK,2013-11,273
FOOD & DRINK,2013-12,241
FOOD & DRINK,2014-01,272
FOOD & DRINK,2014-02,260
FOOD & DRINK,2014-03,278
